name,value,error
m,2.9370591292616397e-06,6.056959983959962e-08
c,0.17493159453577156,8.114540411384788e-05
tc,505.94593081259035,0.6737161317662342
w,258.60108429508693,0.21345645362597965
n,1.1084665244175347,0.00017234849962334631
deposition rate (nm/s),0.5863923127207962,0.0008254276867364223
refractive index,1.1084665244175347,0.00017234849962334631
redchi2,9.551188715107283e-05,
